;;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling
;;A;B;C;D;E;F;G;A;B;C;D;E;F;G
Collective_dwelling;A;61094534;0;0;0;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;B;118445200;26324763;0;0;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;C;156426761;118933640;119875589;0;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;D;31701278;35441809;144353956;334466;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;E;2851182;3304971;65606771;306635;12876;0;0;0;0;0;0;0;0;0
Collective_dwelling;F;173836;333193;18895573;217720;9634;6014;0;0;0;0;0;0;0;0
Collective_dwelling;G;11844;35047;3800095;173189;8997;2431;1948;0;0;0;0;0;0;0
Individual_dwelling;A;0;0;0;0;0;0;0;77128766;0;0;0;0;0;0
Individual_dwelling;B;0;0;0;0;0;0;0;199005955;52727981;0;0;0;0;0
Individual_dwelling;C;0;0;0;0;0;0;0;600605074;123034398;310470947;0;0;0;0
Individual_dwelling;D;0;0;0;0;0;0;0;162961773;28288929;276205599;401332;0;0;0
Individual_dwelling;E;0;0;0;0;0;0;0;19834002;4139768;83777869;311380;36910;0;0
Individual_dwelling;F;0;0;0;0;0;0;0;1228269;1230321;30097274;231685;31508;19296;0
Individual_dwelling;G;0;0;0;0;0;0;0;74416;86803;10575704;146763;34507;30952;18138
