;;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling
;;A;B;C;D;E;F;G;A;B;C;D;E;F;G
Collective_dwelling;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;C;0;0;59937794,5;0;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;D;0;0;0;334466;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;E;0;0;0;306635;12876;0;0;0;0;0;0;0;0;0
Collective_dwelling;F;0;0;0;217720;9634;6014;0;0;0;0;0;0;0;0
Collective_dwelling;G;0;0;0;173189;8997;2431;1948;0;0;0;0;0;0;0
Individual_dwelling;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Individual_dwelling;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Individual_dwelling;C;0;0;0;0;0;0;0;0;0;155235473,5;0;0;0;0
Individual_dwelling;D;0;0;0;0;0;0;0;0;0;0;401332;0;0;0
Individual_dwelling;E;0;0;0;0;0;0;0;0;0;0;311380;36910;0;0
Individual_dwelling;F;0;0;0;0;0;0;0;0;0;0;231685;31508;19296;0
Individual_dwelling;G;0;0;0;0;0;0;0;0;0;0;146763;34507;30952;18138
