ffo_bat_usage_niveau_1_txt;ffo_bat_mat_mur_txt;periode_construction;sum_batiment;sum_logement;sum_logement_vacant;sum_logement_loue;sum_logement_sociaux;sum_hlm;sum_logement_proprio;sum_shab;sum_sloc;;nbre_logement_par_bat;nbre_logement_par_bat_par_mat
Résidentiel collectif;agglo;P0;23404;119444;22476;57435;3566;3363;35743;6264616;8623434;;5,103572039;13,33462579
Résidentiel collectif;agglo;P1;14373;73397;11721;35763;11199;10004;23749;3835492;5142379;;5,106588743;
Résidentiel collectif;agglo;P2;51932;739584;82016;417186;272048;260181;226426;45406156;57296071;;14,24139259;
Résidentiel collectif;agglo;P3;34188;552161;56480;268464;172282;166532;210883;32377735;41886124;;16,1507254;
Résidentiel collectif;agglo;P4;9339;143122;14399;87653;49277;46603;35693;8132327;10664748;;15,32519542;
Résidentiel collectif;agglo;P5;2710;48952;4898;32522;15269;14467;8928;2951547;3937369;;18,06346863;
Résidentiel collectif;agglo;P6;1252;24228;2266;16260;11670;11199;3655;1463141;1970258;;19,3514377;
Résidentiel collectif;autres;2021;13;209;21;45;2;2;103;9890;14428;;16,07692308;
Résidentiel collectif;autres;P0;102661;531727;101845;283636;20464;18491;129293;28313127;37730361;;5,179444969;11,28911744
Résidentiel collectif;autres;P1;19250;111386;19023;63300;16910;16366;25619;5745017;7504838;;5,786285714;
Résidentiel collectif;autres;P2;29474;336765;41490;193909;119349;113670;92171;20449042;26124425;;11,42583294;
Résidentiel collectif;autres;P3;35664;465033;53437;236203;130867;122254;156974;26688941;35232674;;13,03928331;
Résidentiel collectif;autres;P4;70576;974437;105501;574658;254047;234559;260626;54347731;71530898;;13,80691737;
Résidentiel collectif;autres;P5;58573;765576;84985;496893;189718;175712;156035;43552726;57936378;;13,07045909;
Résidentiel collectif;autres;P6;66480;1111253;126449;609581;358158;333738;209917;62684355;84536133;;16,71559868;
Résidentiel collectif;beton;P0;13223;90395;15488;45256;6255;5777;26761;4952576;6828178;;6,83619451;26,19314947
Résidentiel collectif;beton;P1;13515;152695;20210;89393;43466;38340;39178;8320651;10688639;;11,2981872;
Résidentiel collectif;beton;P2;48754;1610405;161618;991113;741175;700791;436922;102499826;126461861;;33,03123846;
Résidentiel collectif;beton;P3;36394;1515280;137315;894003;694266;662746;454888;93117025;116045887;;41,63543441;
Résidentiel collectif;beton;P4;6628;194728;18084;123292;74452;67431;46245;10932660;14472086;;29,37960169;
Résidentiel collectif;beton;P5;1965;55053;4740;38757;19097;18085;9871;3227739;4320921;;28,01679389;
Résidentiel collectif;beton;P6;1436;47610;5231;30212;22776;21038;6951;2774988;3702594;;33,1545961;
Résidentiel collectif;bois;P0;11143;64293;12144;31078;1435;1244;18690;3187124;4469065;;5,769810643;10,11543172
Résidentiel collectif;bois;P1;1152;4983;829;2219;173;173;1737;274370;385393;;4,325520833;
Résidentiel collectif;bois;P2;1263;7772;955;3621;1775;1763;2898;471305;631636;;6,153602534;
Résidentiel collectif;bois;P3;925;10990;944;5050;3583;3319;4370;607651;756057;;11,88108108;
Résidentiel collectif;bois;P4;313;3444;381;1412;655;463;1399;197941;255736;;11,00319489;
Résidentiel collectif;bois;P5;152;2274;208;1672;1547;1547;256;138581;179169;;14,96052632;
Résidentiel collectif;bois;P6;119;1989;162;1430;1362;1187;265;129125;162342;;16,71428571;
Résidentiel collectif;briques;P0;82001;553074;95254;287259;18556;16539;154816;27183587;36277009;;6,744722625;12,98755245
Résidentiel collectif;briques;P1;31491;261368;35819;152178;57059;55637;66903;12551276;16226107;;8,299768188;
Résidentiel collectif;briques;P2;26702;239130;29674;148757;98543;96848;56091;14546706;18723510;;8,955508951;
Résidentiel collectif;briques;P3;9848;124795;13777;66219;36820;36319;41072;7018338;9070425;;12,67211617;
Résidentiel collectif;briques;P4;3773;56326;5733;35000;14692;14339;14166;3093547;3981961;;14,92870395;
Résidentiel collectif;briques;P5;1567;29484;2828;21584;8444;8326;4669;1752856;2309119;;18,81557116;
Résidentiel collectif;briques;P6;1277;26174;2531;17529;12061;11854;2455;1587778;2060957;;20,49647612;
Résidentiel collectif;meuliere;P0;74637;493660;85274;245161;16706;14723;147205;25502742;34895814;;6,614145799;10,29026981
Résidentiel collectif;meuliere;P1;13270;77888;12989;39078;6833;6440;23427;4272340;5829561;;5,86948003;
Résidentiel collectif;meuliere;P2;13104;104918;13441;57675;28446;28329;31309;6492073;8576542;;8,006562882;
Résidentiel collectif;meuliere;P3;5208;52292;5978;23599;11526;11027;20590;2921393;3861152;;10,04070661;
Résidentiel collectif;meuliere;P4;2774;36344;3882;20669;8273;7663;10591;2147110;2843009;;13,10165826;
Résidentiel collectif;meuliere;P5;695;9413;1043;6281;1828;1723;1830;567382;771230;;13,54388489;
Résidentiel collectif;meuliere;P6;422;6269;661;3789;2674;2497;1292;412731;564689;;14,85545024;
Résidentiel collectif;pierre;P0;244886;1144280;233144;540654;26394;24400;331727;63688864;89211568;;4,67270485;9,996220585
