ffo_bat_usage_niveau_1_txt;dpe_ges;nb_bat;nb_log;sum_slog;sum_sloc;shab/logement
Collective_housing;A;56917;1074559;62696025;88436568;58.3458190755463
Collective_housing;B;194810;2748454;150727748;204087873;54.8409207503564
Collective_housing;C;684712;7113259;416328308;547850893;58.5284899650076
Collective_housing;D;363187;3608277;222264432;291653166;61.5984947940527
Collective_housing;E;129595;1238434;75676250;100913425;61.1064053473984
Collective_housing;F;51229;355855;20550512;28162289;57.7496789422658
Collective_housing;G;16033;74431;4202866;6124133;56.4666066558289
Individual_housing;A;543514;684011;77226808;115305136;112.902874368979
Individual_housing;B;1985125;2278150;251970233;376533139;110.603003753045
Individual_housing;C;8763661;9567291;1036213547;1715261413;108.307936593546
Individual_housing;D;4602654;4929693;468681704;825974425;95.0732031386133
Individual_housing;E;1181535;1253401;108254759;192922370;86.368814928343
Individual_housing;F;338277;361299;32914958;58958153;91.1017135392016
Individual_housing;G;114957;120521;10986892;20702578;91.1616398801869
