Model;Scenario;Region;Variable;Unit;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
BDNB;HDS;France;Residential_dwelling;Number of dwellings;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900;150900
BDNB;HDS;France;Residential_dwelling;Surface in m2;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233;10059233
BDNB;HDS;France;Collective_dwelling;Number of dwellings;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542;66542
BDNB;HDS;France;Collective_dwelling;Surface in m2;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612;3405612
BDNB;HDS;France;Individual_dwelling;Number of dwellings;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358;84358
BDNB;HDS;France;Individual_dwelling;Surface in m2;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622;6653622
BDNB;MDS;France;Residential_dwelling;Number of dwellings;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104;90104
BDNB;MDS;France;Residential_dwelling;Surface in m2;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370;5776370
BDNB;MDS;France;Collective_dwelling;Number of dwellings;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583;40583
BDNB;MDS;France;Collective_dwelling;Surface in m2;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078;2012078
BDNB;MDS;France;Individual_dwelling;Number of dwellings;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521;49521
BDNB;MDS;France;Individual_dwelling;Surface in m2;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292;3764292
