Model;Scenario;Region;Variable;Unit;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
ADEME;ADEME_S1;France;Total;Logement / an;85000;85000;85000;85000;85000;85000;85000;85000;85000;85000;50000;50000;50000;50000;50000;50000;50000;50000;50000;50000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000
ADEME;ADEME_S1;France;LC;Logement / an;48450;49243.3333333333;50036.6666666667;50830;51623.3333333334;52416.6666666667;53210;54003.3333333334;54796.6666666667;55590;33166.6666666667;33633.3333333334;34100;34566.6666666667;35033.3333333334;35500;35966.6666666667;36433.3333333334;36900;37366.6666666667;1513.33333333333;1532;1550.66666666667;1569.33333333333;1588;1606.66666666667;1625.33333333333;1644;1662.66666666667;1681.33333333333;1700
ADEME;ADEME_S1;France;MI;Logement / an;36550;35756.6666666667;34963.3333333333;34170;33376.6666666666;32583.3333333333;31790;30996.6666666666;30203.3333333333;29410;16833.3333333333;16366.6666666666;15900;15433.3333333333;14966.6666666666;14500;14033.3333333333;13566.6666666666;13100;12633.3333333333;486.666666666666;468;449.333333333332;430.666666666666;412;393.333333333332;374.666666666666;355.999999999998;337.333333333332;318.666666666666;300
ADEME;ADEME_S2;France;Total;Logement / an;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;69000;69000;69000;69000;69000;69000;69000;69000;69000;69000;69000
ADEME;ADEME_S2;France;LC;Logement / an;57000;57933.3333333333;58866.6666666667;59800;60733.3333333334;61666.6666666667;62600;63533.3333333334;64466.6666666667;65400;66333.3333333334;67266.6666666667;68200;69133.3333333334;70066.6666666667;71000;71933.3333333334;72866.6666666667;73800;74733.3333333334;52210;52854;53498;54142;54786;55430;56074;56718.0000000001;57362.0000000001;58006;58650
ADEME;ADEME_S2;France;MI;Logement / an;43000;42066.6666666667;41133.3333333333;40200;39266.6666666666;38333.3333333333;37400;36466.6666666666;35533.3333333333;34600;33666.6666666666;32733.3333333333;31800;30866.6666666666;29933.3333333333;29000;28066.6666666666;27133.3333333333;26200;25266.6666666666;16790;16146;15502;14858;14214;13570;12926;12281.9999999999;11637.9999999999;10994;10350
ADEME;ADEME_S3;France;Total;Logement / an;350000;350000;350000;350000;350000;350000;350000;350000;350000;350000;350000;350000;350000;350000;350000;350000;350000;350000;350000;350000;250000;250000;250000;250000;250000;250000;250000;250000;250000;250000;250000
ADEME;ADEME_S3;France;LC;Logement / an;199500;201600;203700;205800;207900;210000;212100;214200;216300;218400;220500;222600;224700;226800;228900;231000;233100;235200;237300;239400;172500;174000;175500;177000;178500;180000;181500;183000;184500;186000;187500
ADEME;ADEME_S3;France;MI;Logement / an;150500;148400;146300;144200;142100;140000;137900;135800;133700;131600;129500;127400;125300;123200;121100;119000;116900;114800;112700;110600;77500;76000;74500;73000;71500;70000;68500;67000;65500;64000;62500
ADEME;ADEME_S4;France;Total;Logement / an;275000;275000;275000;275000;275000;275000;275000;275000;275000;275000;275000;275000;275000;275000;275000;275000;275000;275000;275000;275000;175000;175000;175000;175000;175000;175000;175000;175000;175000;175000;175000
ADEME;ADEME_S4;France;LC;Logement / an;156750;156750;156750;156750;156750;156750;156750;156750;156750;156750;156750;156750;156750;156750;156750;156750;156750;156750;156750;156750;99750;99750;99750;99750;99750;99750;99750;99750;99750;99750;99750
ADEME;ADEME_S4;France;MI;Logement / an;118250;118250;118250;118250;118250;118250;118250;118250;118250;118250;118250;118250;118250;118250;118250;118250;118250;118250;118250;118250;75250;75250;75250;75250;75250;75250;75250;75250;75250;75250;75250
Shift Project;Shift_bas;France;Total;Logement / an;;;375000;340000;310000;310000;300000;290000;280000;270000;260000;253000;246000;239000;232000;225000;218000;211000;204000;197000;190000;183000;176000;169000;162000;155000;148000;141000;134000;127000;120000
Shift Project;Shift_bas;France;LC;Logement / an;;;250000;250000;250000;250000;240000;230000;220000;210000;200000;195000;190000;185000;180000;175000;170000;165000;160000;155000;150000;145000;140000;135000;130000;125000;120000;115000;110000;105000;100000
Shift Project;Shift_bas;France;MI;Logement / an;;;125000;90000;60000;60000;60000;60000;60000;60000;60000;58000;56000;54000;52000;50000;48000;46000;44000;42000;40000;38000;36000;34000;32000;30000;28000;26000;24000;22000;20000
Shift Project;Shift_median;France;Total;Logement / an;;;395000;395000;395000;395000;395000;395000;395000;395000;395000;387750;380500;373250;366000;358750;351500;344250;337000;329750;322500;315250;308000;300750;293500;286250;279000;271750;264500;257250;250000
Shift Project;Shift_median;France;LC;Logement / an;;;250000;250000;250000;250000;250000;250000;250000;250000;250000;246875;243750;240625;237500;234375;231250;228125;225000;221875;218750;215625;212500;209375;206250;203125;200000;196875;193750;190625;187500
Shift Project;Shift_median;France;MI;Logement / an;;;145000;145000;145000;145000;145000;145000;145000;145000;145000;140875;136750;132625;128500;124375;120250;116125;112000;107875;103750;99625;95500;91375;87250;83125;79000;74875;70750;66625;62500
