Model;Scenario;Region;Variable;Unit;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB_FF;BAU;France;Collective_dwelling;%surface;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41
CSTB_FF;BAU;France;Individual_dwelling;%surface;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59
ADEME;S1;France;Collective_dwelling;%surface;0.411630558722919;0.423026097412804;0.434580012191831;0.446289691580122;0.458152192134467;0.470164226796464;0.482322153674797;0.494621965351604;0.507059278807323;0.519629326062593;0.532326945639422;0.545146574946873;0.558082243699071;0.571127568474952;0.584275748530054;0.597519562970619;0.610851369399065;0.624263104137706;0.637746284134117;0.651292010646764;0.664890974803447;0.67853346511758;0.692209377038363;0.705908224600499;0.719619154227274;0.733330960727442;0.747032105511759;0.760710737038987;0.774354713484;0.787951627602407;0.801488833746898
ADEME;S1;France;Individual_dwelling;%surface;0.588369441277081;0.576973902587196;0.565419987808169;0.553710308419878;0.541847807865533;0.529835773203536;0.517677846325203;0.505378034648396;0.492940721192677;0.480370673937407;0.467673054360578;0.454853425053127;0.441917756300929;0.428872431525048;0.415724251469946;0.402480437029381;0.389148630600935;0.375736895862294;0.362253715865883;0.348707989353236;0.335109025196553;0.32146653488242;0.307790622961637;0.294091775399501;0.280380845772726;0.266669039272558;0.252967894488241;0.239289262961013;0.225645286516;0.212048372397593;0.198511166253102
ADEME;S2;France;Collective_dwelling;%surface;0.411630558722919;0.421511768086409;0.431514847370981;0.441640623785313;0.451889901784633;0.462263461678965;0.472762058201591;0.48338641903753;0.494137243312022;0.505015200039016;0.516020926529685;0.527155026761201;0.538418069705985;0.549810587621752;0.561333074302819;0.572985983293218;0.584769726062218;0.596684670143068;0.608731137235834;0.620909401275306;0.633219686465147;0.645662165279577;0.658236956433958;0.670944122825908;0.683783669448658;0.696755541278511;0.709859621138491;0.72309572754042;0.736463612507764;0.749962959381919;0.763593380614657
ADEME;S2;France;Individual_dwelling;%surface;0.588369441277081;0.578488231913591;0.568485152629019;0.558359376214687;0.548110098215367;0.537736538321035;0.527237941798409;0.51661358096247;0.505862756687978;0.494984799960984;0.483979073470315;0.472844973238799;0.461581930294015;0.450189412378248;0.438666925697181;0.427014016706782;0.415230273937782;0.403315329856932;0.391268862764166;0.379090598724694;0.366780313534853;0.354337834720423;0.341763043566042;0.329055877174092;0.316216330551342;0.303244458721489;0.290140378861509;0.27690427245958;0.263536387492236;0.250037040618081;0.236406619385343
ADEME;S3;France;Collective_dwelling;%surface;0.411630558722919;0.417582417582418;0.423580786026201;0.4296262113521;0.435719249478805;0.441860465116279;0.448050431940229;0.454289732770745;0.460578959755237;0.466918714555766;0.473309608540925;0.479752262982373;0.486247309256159;0.492795389048991;0.499397154569568;0.506053268765133;0.512764405543399;0.51953125;0.52635449865163;0.533234859675037;0.54017305315204;0.547169811320755;0.554225878833209;0.561342013019529;0.568518984158914;0.575757575757576;0.583058584833883;0.590422822210902;0.597851112816577;0.605344295991778;0.612903225806452
ADEME;S3;France;Individual_dwelling;%surface;0.588369441277081;0.582417582417583;0.576419213973799;0.5703737886479;0.564280750521195;0.558139534883721;0.551949568059771;0.545710267229255;0.539421040244763;0.533081285444234;0.526690391459075;0.520247737017627;0.513752690743841;0.507204610951009;0.500602845430432;0.493946731234867;0.487235594456601;0.48046875;0.47364550134837;0.466765140324963;0.45982694684796;0.452830188679245;0.445774121166791;0.438657986980471;0.431481015841086;0.424242424242424;0.416941415166117;0.409577177789098;0.402148887183423;0.394655704008222;0.387096774193548
ADEME;S4;France;Collective_dwelling;%surface;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919;0.411630558722919
ADEME;S4;France;Individual_dwelling;%surface;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081;0.588369441277081
