Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CSTB,Constant,France,Collective_dwelling,Number of dwelling,13950.0,18450.0,19350.0,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5
CSTB,Constant,France,Collective_dwelling,Surface in m2,809100.0,1070100.0,1122300.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0
CSTB,Constant,France,Individual_dwelling,Number of dwelling,17050.0,22550.000000000004,23650.000000000004,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006
CSTB,Constant,France,Individual_dwelling,Surface in m2,1756150.0,2322650.0000000005,2435950.0000000005,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001
CSTB,Constant,France,Residential_dwelling,Number of dwelling,31000.0,41000.0,43000.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0
CSTB,Cum_Constant,France,Residential_dwelling,Number of dwelling,31000.0,72000.0,115000.0,941250.0,1767500.0,2593750.0,3420000.0,4246250.0,5072500.0,5898750.0,6725000.0,7551250.0,8377500.0,9203750.0,10030000.0,10856250.0,11682500.0,12508750.0,13335000.0,14161250.0,14987500.0,15813750.0,16640000.0,17466250.0,18292500.0,19118750.0,19945000.0,20771250.0,21597500.0,22423750.0,23250000.0
CSTB,Cum_Linear,France,Residential_dwelling,Number of dwelling,31000.0,72000.0,115000.0,174731.34452706343,291234.0179897108,464508.0203879422,694553.3517217576,981370.011991157,1324958.00119614,1725317.3193367075,2182447.966412858,2696349.942424593,3267023.2473719125,3894467.8812548155,4578683.844073303,5319671.135827375,6117429.75651703,6971959.706142268,7883260.984703092,8851333.592199499,9876177.528631488,10957792.793999063,12096179.388302222,13291337.311540965,14543266.563715292,15851967.144825203,17217439.0548707,18639682.29385178,20118696.86176844,21654482.758620687,23247039.98440852
CSTB,Cum_Plateau,France,Residential_dwelling,Number of dwelling,31000.0,72000.0,115000.0,182932.788926021,316595.233507773,515987.333745256,781109.0896384701,1111960.5011874153,1508541.5683920917,1970852.2912524987,2498892.669768637,3092662.7039405066,3752162.393768106,4477391.7392514385,5268350.7403905,6125039.397185294,7047457.709635817,8035605.677742074,9089483.30150406,10209090.580921777,11394427.515995225,12579764.451068673,13765101.386142122,14950438.321215572,16135775.256289022,17321112.19136247,18506449.12643592,19691786.06150937,20877122.99658282,22062459.93165627,23247796.86672972
CSTB,Linear,France,Collective_dwelling,Number of dwelling,13950.0,18450.0,19350.0,26879.10503717854,52426.20305819133,77973.30107920413,103520.39910021694,129067.49712122974,154614.5951422424,180161.69316325538,205708.7911842679,231255.88920528072,256802.98722629374,282350.0852473064,307897.1832683194,333444.28128933226,358991.37931034504,384538.477331357,410085.5753523707,435632.6733733831,461179.7713943951,486726.86941540876,512273.9674364216,537821.0654574344,563368.1634784472,588915.2614994601,614462.3595204729,640009.4575414874,665556.5555624961,691103.6535835114,716650.751604525
CSTB,Linear,France,Collective_dwelling,Surface in m2,809100.0,1070100.0,1122300.0,1558988.0921563553,3040719.777375097,4522451.4625938395,6004183.147812583,7485914.833031325,8967646.51825006,10449378.203468813,11931109.888687538,13412841.573906282,14894573.259125037,16376304.94434377,17858036.629562527,19339768.31478127,20821500.00000001,22303231.685218707,23784963.3704375,25266695.05565622,26748426.740874916,28230158.42609371,29711890.111312453,31193621.796531193,32675353.48174994,34157085.16696869,35638816.85218743,37120548.53740627,38602280.22262477,40084011.90784366,41565743.59306245
