Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CSTB,Constant,France,Collective_dwelling,Number of dwelling,13950.0,18450.0,19350.0,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855,247258.92857142855
CSTB,Constant,France,Collective_dwelling,Surface in m2,809100.0,1070100.0,1122300.0,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856,14341017.857142856
CSTB,Constant,France,Individual_dwelling,Number of dwelling,17050.0,22550.000000000004,23650.000000000004,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716,302205.35714285716
CSTB,Constant,France,Individual_dwelling,Surface in m2,1756150.0,2322650.0000000005,2435950.0000000005,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287,31127151.785714287
CSTB,Constant,France,Residential_dwelling,Number of dwelling,31000.0,41000.0,43000.0,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857,549464.2857142857
CSTB,Cum_Constant,France,Residential_dwelling,Number of dwelling,31000.0,72000.0,115000.0,664464.2857142857,1213928.5714285714,1763392.857142857,2312857.1428571427,2862321.428571428,3411785.7142857136,3961249.999999999,4510714.2857142845,5060178.57142857,5609642.857142855,6159107.142857141,6708571.428571426,7258035.714285712,7807499.999999997,8356964.285714283,8906428.571428569,9455892.857142854,10005357.14285714,10554821.428571425,11104285.71428571,11653749.999999996,12203214.285714282,12752678.571428567,13302142.857142853,13851607.142857138,14401071.428571424,14950535.714285709,15499999.999999994
CSTB,Cum_Linear,France,Residential_dwelling,Number of dwelling,31000.0,72000.0,115000.0,158000.0,236322.96470750516,352328.7858043274,506017.4632904668,697388.9971659231,926443.3874306967,1193180.6340847872,1497600.737128195,1839703.69656092,2219489.512382962,2636958.1845943206,3092109.713194997,3584944.0981849898,4115461.3395643,4683661.437332928,5289544.391490873,5933110.202038135,6614358.868974714,7333290.392300609,8089904.772015822,8884202.008120352,9716182.1006142,10585845.049497364,11493190.854769843,12438219.516431643,13420931.034482758,14441325.408923192,15499402.639752941
CSTB,Cum_Plateau,France,Residential_dwelling,Number of dwelling,31000.0,72000.0,115000.0,160852.0962043744,250354.15889965917,383506.1880858543,560308.1837629598,780760.1459309757,1044862.0745899018,1352613.9697397386,1704015.831380486,2099067.659512143,2537769.454134711,3020121.2152481894,3546122.9428525777,4115774.636947877,4729076.297534086,5386027.924611205,6086629.518179235,6830881.078238176,7618782.604788027,8406684.131337877,9194585.657887727,9982487.18443758,10770388.710987434,11558290.237537287,12346191.76408714,13134093.290636994,13921994.817186847,14709896.3437367,15497797.870286554
CSTB,Linear,France,Collective_dwelling,Number of dwelling,13950.0,18450.0,19350.0,19350.0,35245.33411837732,52202.619493570004,69159.90486876272,86117.19024395534,103074.47561914813,120031.76099434077,136989.04636953346,153946.3317447263,170903.61711991893,187860.90249511146,204818.18787030442,221775.47324549672,238732.75862068968,255690.0439958824,272647.32937107515,289604.6147462681,306561.9001214602,323519.18549665273,340476.47087184613,357433.75624703866,374391.0416222312,391348.3269974241,408305.6123726154,425262.89774781,442220.1831230021,459177.46849819506,476134.7538733872
CSTB,Linear,France,Collective_dwelling,Surface in m2,809100.0,1070100.0,1122300.0,1122300.0,2044229.3788658846,3027751.93062706,4011274.482388238,4994797.034149409,5978319.585910591,6961842.137671765,7945364.68943294,8928887.241194125,9912409.792955298,10895932.344716465,11879454.896477656,12862977.448238809,13846500.000000002,14830022.55176118,15813545.103522358,16797067.655283548,17780590.20704469,18764112.75880586,19747635.310567077,20731157.862328243,21714680.414089408,22698202.9658506,23681725.51761169,24665248.06937298,25648770.621134125,26632293.172895312,27615815.724656455
