Model;Scenario;Region;Variable;Unit;Saut_Classe_Dpe;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;HRS_normal_BAU_RE2020_WLC;France;Collective_dwelling;MtCO2eq;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.443287592535322;3.09636128346597;3.4220084423419754;2.5969154438188924;0.0;0.0;1.441349514539241;3.09636128346597;2.6918471815511555;2.2484197644210706;1.8043991266582737;1.3912848080324376;1.030689135948091;0.7336139389616883;0.5016902621161682;0.3296339912556102;0.2080925476828403;0.1262145102273558;0.07355128525923081;0.041181244475429174
CSTB;HRS_normal_BAU_RE2020_WLC;France;Collective_dwelling;MtCO2eq;2;0.0;0.0;0.0;0.0;0.0;0.0;0.12890740356823802;1.987757619328479;2.470240373445358;3.203729061617776;0.2650500915451901;3.3728393835237602;0.0;0.0;1.5550472742698642;5.560526236595393;5.4504204399982035;2.970988391704101;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_BAU_RE2020_WLC;France;Collective_dwelling;MtCO2eq;3;0.0;0.0;0.0;0.6068497951897633;1.244536497597715;1.612575842516261;1.536359719029537;0.0;0.0;0.0;6.211736905405407;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_BAU_RE2020_WLC;France;Collective_dwelling;MtCO2eq;4;0.20126044222726855;0.388771079227363;0.6671338397731665;0.18948543877220184;0.0;0.0;0.8495751770270271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_BAU_RE2020_WLC;France;Collective_dwelling;MtCO2eq;5;0.01577115;0.0;0.0;0.0782262;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_BAU_RE2020_WLC;France;Collective_dwelling;MtCO2eq;6;0.0071064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_BAU_RE2020_WLC;France;Collective_dwelling;MtCO2eq;sum;0.22413799222726855;0.388771079227363;0.6671338397731665;0.8745614339619652;1.244536497597715;1.612575842516261;2.514842299624802;1.987757619328479;2.470240373445358;3.203729061617776;6.4767869969505965;3.816126976059082;3.09636128346597;3.4220084423419754;4.151962718088757;5.560526236595393;5.4504204399982035;4.4123379062433425;3.09636128346597;2.6918471815511555;2.2484197644210706;1.8043991266582737;1.3912848080324376;1.030689135948091;0.7336139389616883;0.5016902621161682;0.3296339912556102;0.2080925476828403;0.1262145102273558;0.07355128525923081;0.041181244475429174
CSTB;HRS_normal_BAU_RE2020_WLC;France;Individual_dwelling;MtCO2eq;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8989083198470915;6.672762882123882;7.374543480537982;1.9639921276472938;0.0;0.0;0.0;0.0;2.588717478184488;4.845420341475341;3.888540908063729;2.9982656336245785;2.221169811832903;1.580962753878867;1.0811594167798544;0.7103723565083033;0.44844645088390683;0.2719965217004052;0.1585054976727151;0.08874696923858928
CSTB;HRS_normal_BAU_RE2020_WLC;France;Individual_dwelling;MtCO2eq;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.213584237485079;5.14762473242774;0.40288284397861596;0.0;2.751540359765625;0.0;0.0;8.799851481113611;11.98312137371019;11.745839672584554;11.061815220806974;10.009144323185824;4.818455829380096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_BAU_RE2020_WLC;France;Individual_dwelling;MtCO2eq;3;0.0;0.0;0.0;0.43199573359756266;2.738784988947675;3.4518945234537517;0.9413939394363136;0.0690463528146597;0.0;10.455377577286287;13.864907603619196;5.16938201186761;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_BAU_RE2020_WLC;France;Individual_dwelling;MtCO2eq;4;0.42259313576973495;0.8555477464744141;1.4681258038768858;1.3858420638789648;0.0;0.0;5.7487615171875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_BAU_RE2020_WLC;France;Individual_dwelling;MtCO2eq;5;0.03906135;0.0;0.0;0.55272105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_BAU_RE2020_WLC;France;Individual_dwelling;MtCO2eq;6;0.0446496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_BAU_RE2020_WLC;France;Individual_dwelling;MtCO2eq;sum;0.506304085769735;0.8555477464744141;1.4681258038768858;2.3705588474765276;2.738784988947675;3.4518945234537517;6.690155456623813;4.282630590299738;5.14762473242774;10.858260421264903;13.864907603619196;9.819830691480327;6.672762882123882;7.374543480537982;10.763843608760906;11.98312137371019;11.745839672584554;11.061815220806974;10.009144323185824;7.407173307564585;4.845420341475341;3.888540908063729;2.9982656336245785;2.221169811832903;1.580962753878867;1.0811594167798544;0.7103723565083033;0.44844645088390683;0.2719965217004052;0.1585054976727151;0.08874696923858928
