Model;Scenario;Region;Variable;Unit;Dpe;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051
CSTB;HRS_normal_HDS_Constant;France;Collective_dwelling;MtCO2eq;1;0.13443403160000003;0.13443403160000003;0.13443403160000003;0.1348164708;0.1348164708;0.1348164708;0.14108907120000003;0.14108907120000003;0.14108907120000003;0.14108907120000003;0.2108318828;0.2108318828;0.2108318828;0.2108318828;0.2452756509974332;0.36843941580256667;0.48916437466402346;0.554970757;0.554970757;0.554970757;0.6082177238407199;0.6681679642121418;0.7143926921198318;0.748636812799903;0.7730107616290791;0.7896791646234693;0.8006310858023292;0.8075448545294243;0.8117382672365698;0.8141819711631418;0.8155501969999991
CSTB;HRS_normal_HDS_Constant;France;Collective_dwelling;MtCO2eq;2;0.970193567;0.970193567;0.970193567;0.9724259601;0.9724259601;0.9724259601;0.9945692658;0.9945692658;0.9945692658;0.9945692658;1.0045118668685604;1.2320293861000002;1.2320293861000002;1.2320293861000002;1.2320293861000002;1.2320293861000002;1.2320293861000002;1.3778704247343994;1.6911716337838745;1.9635426200314383;1.866723556903262;1.684147824863023;1.5433725171441488;1.4390836041639319;1.364853850911441;1.314090987246707;1.2807374091110886;1.2596818407149348;1.2469109929249913;1.2394688036940675;1.2353019341000027
CSTB;HRS_normal_HDS_Constant;France;Collective_dwelling;MtCO2eq;3;6.130539992224987;6.087003161413406;6.055873356500439;6.036123696419842;6.052917860669938;6.1102470777937965;6.126179633127954;6.308136666568462;6.5750470967139005;6.939283887965802;6.890438443200001;6.934008468127098;7.602620996893041;8.347953337946016;8.654662874963657;7.720454902236348;6.8035402807460175;5.9364781132930435;5.1461357581271;4.451093623216354;4.238088769200002;4.177223856000002;4.116358942800002;4.055494029600002;3.994629116400002;3.9337642032000018;3.872899290000002;3.8120343768000016;3.751169463600002;3.690304550400002;3.629439762000002
CSTB;HRS_normal_HDS_Constant;France;Collective_dwelling;MtCO2eq;4;6.34491129;6.34491129;6.34491129;6.34491129;6.34491129;6.34491129;6.34491129;6.34491129;6.34491129;6.34491129;5.349353840737789;4.129782260524813;2.7269410259749245;1.1765616908730496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Constant;France;Collective_dwelling;MtCO2eq;5;3.2149789951999996;3.2149789951999996;3.2149789951999996;3.2149789951999996;3.2149789951999996;3.2149789951999996;2.89396071388895;2.196625892767494;1.255322342647262;0.03451744781103089;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Constant;France;Collective_dwelling;MtCO2eq;6;1.2301249668;1.2301249668;1.2301249668;1.044082220139876;0.7284677643490954;0.24811469623802984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Constant;France;Collective_dwelling;MtCO2eq;7;0.29993106035104006;0.19662903072776933;0.01936203901661363;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Constant;France;Collective_dwelling;MtCO2eq;sum;18.325113903176028;18.178275042741177;17.96987824611705;17.747338632659716;17.448518341119033;17.025494490131827;16.500709974016903;15.985332186335956;15.310939066361163;14.454370962776833;13.455136033606351;12.506651997551911;11.772423291767964;10.967376297719065;10.131967912061091;9.320923704138915;8.52473404151004;7.869319295027443;7.392278148910974;6.969607000247793;6.713030049943984;6.529539645075167;6.374124152063982;6.243214446563837;6.132493728940522;6.0375343550701785;5.954267784913419;5.879261072044361;5.809818723761563;5.743955325257211;5.680291893100003
CSTB;HRS_normal_HDS_Constant;France;Individual_dwelling;MtCO2eq;1;0.1698470004;0.1698470004;0.1698470004;0.1725491922;0.1725491922;0.1725491922;0.2161839966;0.2161839966;0.2161839966;0.3401517576847924;0.5045457779449678;0.5746998972;0.5746998972;0.5746998972;0.7737391082105698;1.0447790261894285;1.3104519942054775;1.5606533730150554;1.7870449426061499;1.8960310600000003;1.8960310600000003;2.009507954246621;2.1112322436958597;2.1865914508057567;2.240229897973502;2.2769111620416;2.301012469944339;2.316227231458666;2.32545545079732;2.3308331794894452;2.3338441609999983
CSTB;HRS_normal_HDS_Constant;France;Individual_dwelling;MtCO2eq;2;1.6871989512999999;1.6871989512999999;1.6871989512999999;1.695442102;1.695442102;1.695442102;1.7209440512915528;1.7231785476;1.7231785476;1.7231785476;1.7231785476;1.9127143719000002;1.9127143719000002;1.9127143719000002;1.9127143719000002;1.9127143719000002;1.9127143719000002;1.9127143719000002;1.9127143719000002;2.1801943850675927;2.6808489013144903;2.3914561151125637;2.0816594154262456;1.8521563755915589;1.6888029228534243;1.5770918004642192;1.5036923627604215;1.4573564981486093;1.429252375617252;1.4128747473275989;1.403704940000007
CSTB;HRS_normal_HDS_Constant;France;Individual_dwelling;MtCO2eq;3;16.013780358565736;15.895041038637167;15.803605197838538;15.716265379376487;15.730293257486824;15.833524461133333;15.688209404400002;16.060499678156617;16.624945061778494;16.5245272452;16.36765494;16.667618795410924;18.116068529129592;19.733351455488418;18.637604112797774;16.558812389202235;14.518077219888431;12.587049683129607;10.824855339010934;9.272383098809781;7.949807740855812;7.662091163999998;7.505218858799998;7.348346553599997;7.191474248399998;7.0346019431999975;6.877729637999998;6.720857332799998;6.563985027599998;6.407112722399997;6.250240557599999
CSTB;HRS_normal_HDS_Constant;France;Individual_dwelling;MtCO2eq;4;14.02368903;14.02368903;14.02368903;14.02368903;14.02368903;14.02368903;14.02368903;14.02368903;14.02368903;12.333219560661922;10.091482920750439;7.407636891902068;4.320479124750778;0.9086421409838081;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Constant;France;Individual_dwelling;MtCO2eq;5;4.8272734272;4.8272734272;4.8272734272;4.8272734272;4.8272734272;4.8272734272;3.7681896408445423;2.2336021506066395;0.1621257109130509;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Constant;France;Individual_dwelling;MtCO2eq;6;2.0640417776;2.0640417776;2.0640417776;1.798613053559658;1.1040571803625276;0.046969843127362194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Constant;France;Individual_dwelling;MtCO2eq;7;0.8712514387811847;0.643920180432269;0.2538181811164107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Constant;France;Individual_dwelling;MtCO2eq;sum;39.65708198384692;39.31101140556944;38.82947356545495;38.233832184336144;37.55330418924935;36.599448055660694;35.4172161231361;34.257153402963255;32.750122346891544;30.921077111146715;28.686862186295407;26.562669956412993;24.92396192298037;23.129407865572226;21.324057592908346;19.516305787291664;17.741243585993907;16.060417428044662;14.524614653517084;13.348608543877374;12.526687702170303;12.063055233359183;11.698110517922103;11.387094379997313;11.120507069226925;10.888604905705815;10.68243447070476;10.494441062407272;10.31869285401457;10.150820649217042;9.987789658600004
CSTB;HRS_normal_HDS_Constant;France;Residential_dwelling;MtCO2eq;1;0.304281032;0.304281032;0.304281032;0.307365663;0.307365663;0.307365663;0.3572730678;0.3572730678;0.3572730678;0.4812408288847924;0.7153776607449678;0.78553178;0.78553178;0.78553178;1.019014759208003;1.413218441991995;1.799616368869501;2.115624130015055;2.34201569960615;2.4510018170000003;2.5042487838407204;2.6776759184587626;2.8256249358156915;2.9352282636056595;3.013240659602581;3.066590326665069;3.1016435557466684;3.12377208598809;3.13719371803389;3.145015150652587;3.1493943579999972
CSTB;HRS_normal_HDS_Constant;France;Residential_dwelling;MtCO2eq;2;2.6573925183;2.6573925183;2.6573925183;2.6678680621;2.6678680621;2.6678680621;2.7155133170915526;2.7177478134;2.7177478134;2.7177478134;2.7276904144685608;3.1447437580000006;3.1447437580000006;3.1447437580000006;3.1447437580000006;3.1447437580000006;3.1447437580000006;3.2905847966343993;3.603886005683875;4.143737005099031;4.547572458217752;4.075603939975586;3.625031932570394;3.291239979755491;3.053656773764865;2.8911827877109264;2.78442977187151;2.717038338863544;2.6761633685422432;2.6523435510216666;2.6390068741000094
