Model;Scenario;Region;Variable;Unit;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;BAU_construction;France;Collective_dwelling;Number of dwelling;182050.3746367073;182050.3746367073;224525.60927340982;182050.37463670253;224525.6092734146;182050.37463670253;182050.3746367073;182050.37463670253;182050.3746367073;224525.60927340982;182050.3746367073;139575.13999999998;182050.3746367073;182050.37463670253;182050.3746367073;139575.13999999998;182050.37463670253;182050.3746367073;139575.13999999998;139575.13999999998;182050.3746367073;139575.13999999998;139575.13999999998;139575.13999999998;139575.13999999998;139575.13999999998;139575.13999999998;139575.13999999998;139575.13999999998;139575.13999999998;139575.13999999998
CSTB;BAU_construction;France;Collective_dwelling;Surface in m2;10376871.354292316;10376871.354292316;12797959.72858436;10376871.354292044;12797959.728584632;10376871.354292044;10376871.354292316;10376871.354292044;10376871.354292316;12797959.72858436;10376871.354292316;7955782.9799999995;10376871.354292316;10376871.354292044;10376871.354292316;7955782.9799999995;10376871.354292044;10376871.354292316;7955782.9799999995;7955782.9799999995;10376871.354292316;7955782.9799999995;7955782.9799999995;7955782.9799999995;7955782.9799999995;7955782.9799999995;7955782.9799999995;7955782.9799999995;7955782.9799999995;7955782.9799999995;7955782.9799999995
CSTB;BAU_construction;France;Individual_dwelling;Number of dwelling;72483.0195312816;72483.0195312816;89394.45554404281;72483.01953127972;89394.45554404471;72483.01953127972;72483.0195312816;72483.01953127972;72483.0195312816;89394.45554404281;72483.0195312816;55571.58351851851;72483.0195312816;72483.01953127972;72483.0195312816;55571.58351851851;72483.01953127972;72483.0195312816;55571.58351851851;55571.58351851851;72483.0195312816;55571.58351851851;55571.58351851851;55571.58351851851;55571.58351851851;55571.58351851851;55571.58351851851;55571.58351851851;55571.58351851851;55571.58351851851;55571.58351851851
CSTB;BAU_construction;France;Individual_dwelling;Surface in m2;7828166.109378414;7828166.109378414;9654601.198756624;7828166.109378209;9654601.198756829;7828166.109378209;7828166.109378414;7828166.109378209;7828166.109378414;9654601.198756624;7828166.109378414;6001731.02;7828166.109378414;7828166.109378209;7828166.109378414;6001731.02;7828166.109378209;7828166.109378414;6001731.02;6001731.02;7828166.109378414;6001731.02;6001731.02;6001731.02;6001731.02;6001731.02;6001731.02;6001731.02;6001731.02;6001731.02;6001731.02
CSTB;BAU_construction;France;Residential_dwelling;Number of dwelling;254533.3941679889;254533.3941679889;313920.0648174526;254533.39416798225;313920.0648174593;254533.39416798225;254533.3941679889;254533.39416798225;254533.3941679889;313920.0648174526;254533.3941679889;195146.7235185185;254533.3941679889;254533.39416798225;254533.3941679889;195146.7235185185;254533.39416798225;254533.3941679889;195146.7235185185;195146.7235185185;254533.3941679889;195146.7235185185;195146.7235185185;195146.7235185185;195146.7235185185;195146.7235185185;195146.7235185185;195146.7235185185;195146.7235185185;195146.7235185185;195146.7235185185
CSTB;BAU_construction;France;Residential_dwelling;Surface in m2;18205037.46367073;18205037.46367073;22452560.927340984;18205037.463670254;22452560.92734146;18205037.463670254;18205037.46367073;18205037.463670254;18205037.46367073;22452560.927340984;18205037.46367073;13957514.0;18205037.46367073;18205037.463670254;18205037.46367073;13957514.0;18205037.463670254;18205037.46367073;13957514.0;13957514.0;18205037.46367073;13957514.0;13957514.0;13957514.0;13957514.0;13957514.0;13957514.0;13957514.0;13957514.0;13957514.0;13957514.0
CSTB;S2_construction;France;Collective_dwelling;Number of dwelling;89697.74333335398;91098.72002725;135769.67722808995;93859.15294739342;139826.32847168762;96608.66968813157;97997.63858481975;99384.42424556098;100769.02667059413;149958.46340353249;103492.89038988954;82802.21016374273;106285.60401172255;107659.29025733897;109030.79326699993;87397.77385964911;111809.3158557827;113174.81496680476;90844.44663157895;91993.33755555563;117346.71191027026;94291.11940350877;95440.01032748545;96588.90125146203;97737.7921754386;98886.68309941528;100035.57402339186;101184.46494736854;102333.3558713451;103482.24679532168;104631.13771929823
CSTB;S2_construction;France;Collective_dwelling;Surface in m2;5112771.370001177;5192627.0415532505;7738871.602001127;5349971.718001425;7970100.7228861945;5506694.1722235;5585865.399334726;5664912.181996976;5743834.520223865;8547632.414001351;5899094.752223704;4719725.9793333355;6058279.428668185;6136579.5446683215;6214755.216218996;4981673.109999999;6373131.003779613;6450964.453107871;5178133.458;5243620.240666671;6688762.578885404;5374593.806;5440080.588666671;5505567.3713333355;5571054.154;5636540.936666671;5702027.719333336;5767514.502000007;5833001.284666671;5898488.067333336;5963974.85
CSTB;S2_construction;France;Individual_dwelling;Number of dwelling;35712.990401242794;34998.273129110035;50318.57380273664;33549.15375000894;48188.96767870372;32091.37651042397;31365.05890351659;30636.263988677125;29904.973045768278;42823.31363005727;28424.17323840377;21859.597277918685;26954.467919854083;26210.409330364208;25463.73833545128;19565.075865384613;23971.49739289465;23216.59033718754;17813.05757751938;17222.99960492229;20951.413192629672;16033.66400390618;15434.3382310705;14831.874626963277;14226.248484251899;13617.434835526314;13005.408449868006;12390.14382936501;11771.615205570282;11149.796535904194;10524.661499999998
CSTB;S2_construction;France;Individual_dwelling;Surface in m2;3857002.963334222;3770480.6251094425;5407569.3980007805;3596469.2820009585;5153006.943776035;3423080.1611119006;3337242.2673341655;3251528.817998255;3165939.8131120116;4522141.9193340475;2994012.914445188;2296715.020666664;2824828.2380007077;2739861.455334063;2655019.1171097285;2034767.89;2486643.3295562635;2402143.213554345;1838307.5420000001;1772820.7593333286;2151011.75444332;1641847.193999993;1576360.4113333286;1510873.6286666642;1445386.845999993;1379900.0633333286;1314413.2806666642;1248926.497999993;1183439.7153333286;1117952.9326666642;1052466.15
