Model;Scenario;Region;Variable;Unit;Dpe;Ef_Nrj;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;AMB_construction_Constant;France;Collective_dwelling;MtCO2eq;new;elec;0.007020152694730065;0.014149429911155262;0.02532390933961018;0.03266786598233233;0.04417531490944899;0.05173301248757249;0.05939880224743209;0.06717249649084372;0.07505390751962397;0.08739296404150114;0.0954859105521199;0.10154182722483035;0.10985222841334616;0.11826940789636127;0.1267931779756919;0.13318520102468756;0.14192520574376566;0.15077128488918126;0.15741538772039082;0.1641435171456717;0.1733143018606783;0.18021048447410182;0.1871906936815966;0.1942549294831627;0.20140319187880007;0.20863548086850878;0.21595179645228876;0.22335213863014008;0.2308365074020627;0.23840490276805662;0.24605732472812183
CSTB;AMB_construction_Constant;France;Collective_dwelling;MtCO2eq;new;rcu;0.003941210505242909;0.00794368502139648;0.014217191828037348;0.018340190333764;0.02480063080739422;0.02904362642096678;0.033347306475564775;0.037711565594840006;0.04213629840244461;0.04906361484462325;0.0536071065880384;0.05700698169720507;0.06167255549470223;0.06639807609881636;0.0711834381331994;0.07477200799569939;0.07967876713792736;0.08464507792548251;0.08837516885298251;0.09215243346881585;0.09730103843965045;0.10117265043215046;0.1050914361129838;0.10905739548215046;0.11307052853965047;0.1171308352854838;0.12123831571965048;0.12539296984215048;0.12959479765298382;0.13384379915215047;0.13813997433965047
CSTB;AMB_construction_Constant;France;Individual_dwelling;MtCO2eq;new;bois;0.00108394154386801;0.00214348991524008;0.0037416396388491703;0.00475210324587712;0.0062748990696574;0.007236469998361085;0.008173859049194255;0.009087104639360277;0.0099762451860627;0.011312366854894547;0.012153066125424867;0.012756230829911534;0.01354933537480589;0.014318526962259635;0.015063844009476399;0.0155982159981764;0.01629618803158519;0.01697039117206946;0.01745316862392946;0.017918747896842793;0.018522375657476275;0.018953558572496275;0.019367543308569605;0.01976432986569627;0.02014391824387627;0.020506308443109602;0.02085150046339627;0.021179494304736268;0.021490289967129598;0.021783887450576266;0.022060286755076264
CSTB;AMB_construction_Constant;France;Individual_dwelling;MtCO2eq;new;elec;0.0036987270672317702;0.007314217461898684;0.012767573940061039;0.01621557269507695;0.02141179952404834;0.02469296209335807;0.027891608989454465;0.031007871303124428;0.03404188012515549;0.03860111988266866;0.04146983283578261;0.04352800804929334;0.046234313812680984;0.04885902153838522;0.05140226231719384;0.053225696569489486;0.05560738224870749;0.057907961480704796;0.05955534001208915;0.06114403330316971;0.06320378860032384;0.06467511141079689;0.06608774898096616;0.06744170131083167;0.0687369684003934;0.06997355024965135;0.07115144685860557;0.072270658227256;0.07333118435560265;0.07433302524364555;0.07527618089138467
CSTB;AMB_construction_Constant;France;Residential_dwelling;MtCO2eq;new;bois;0.00108394154386801;0.00214348991524008;0.0037416396388491703;0.00475210324587712;0.0062748990696574;0.007236469998361085;0.008173859049194255;0.009087104639360277;0.0099762451860627;0.011312366854894547;0.012153066125424867;0.012756230829911534;0.01354933537480589;0.014318526962259635;0.015063844009476399;0.0155982159981764;0.01629618803158519;0.01697039117206946;0.01745316862392946;0.017918747896842793;0.018522375657476275;0.018953558572496275;0.019367543308569605;0.01976432986569627;0.02014391824387627;0.020506308443109602;0.02085150046339627;0.021179494304736268;0.021490289967129598;0.021783887450576266;0.022060286755076264
CSTB;AMB_construction_Constant;France;Residential_dwelling;MtCO2eq;new;elec;0.010718879761961835;0.021463647373053944;0.03809148327967121;0.048883438677409276;0.06558711443349732;0.07642597458093055;0.08729041123688654;0.09818036779396813;0.10909578764477942;0.12599408392416978;0.1369557433879025;0.14506983527412368;0.1560865422260271;0.16712842943474648;0.17819544029288573;0.186410897594177;0.19753258799247309;0.20867924636988602;0.21697072773247994;0.22528755044884138;0.2365180904610021;0.2448855958848986;0.25327844266256266;0.2616966307939943;0.2701401602791934;0.27860903111816004;0.28710324331089426;0.295622796857396;0.3041676917576653;0.31273792801170214;0.3213335056195064
CSTB;AMB_construction_Constant;France;Residential_dwelling;MtCO2eq;new;rcu;0.003941210505242909;0.00794368502139648;0.014217191828037348;0.018340190333764;0.02480063080739422;0.02904362642096678;0.033347306475564775;0.037711565594840006;0.04213629840244461;0.04906361484462325;0.0536071065880384;0.05700698169720507;0.06167255549470223;0.06639807609881636;0.0711834381331994;0.07477200799569939;0.07967876713792736;0.08464507792548251;0.08837516885298251;0.09215243346881585;0.09730103843965045;0.10117265043215046;0.1050914361129838;0.10905739548215046;0.11307052853965047;0.1171308352854838;0.12123831571965048;0.12539296984215048;0.12959479765298382;0.13384379915215047;0.13813997433965047
CSTB;AMB_construction_Half;France;Collective_dwelling;MtCO2eq;new;elec;0.007020152694730065;0.012930937704394968;0.022835966320643004;0.029062194204340717;0.038763728995365364;0.04476812885561665;0.05068142519740585;0.05649952705026106;0.0622183525499488;0.07138723613178206;0.07683985417829346;0.0804816151801235;0.08573602426143297;0.09087088426201778;0.09588216795507273;0.0991004937908908;0.10388237288922354;0.10852859468556696;0.11140190612529562;0.11417249312413637;0.11844927051799059;0.12097662892653323;0.12339209059484733;0.12569259808981983;0.1278750939783376;0.12993652082728652;0.1318738212035535;0.13368393767402506;0.1353638128055882;0.13691038916512874;0.1383206093195335
CSTB;AMB_construction_Half;France;Collective_dwelling;MtCO2eq;new;rcu;0.003941210505242909;0.0077530365808829655;0.013696548458334687;0.017437094064915223;0.0232664124739988;0.026880377004784472;0.030442641090831033;0.03395081222586502;0.03740250322330096;0.04293235483783325;0.04623150812989103;0.04844413989468673;0.051630562148289025;0.05474864812672038;0.05779604256152813;0.05976603949449353;0.06268246184429913;0.06552112790590454;0.06729311995212273;0.06900628431754503;0.07163369554091506;0.07320713436787053;0.07471638723370688;0.07615966804498318;0.07753519070825825;0.07884116913009112;0.08007581721704086;0.08123734887566636;0.08232397801252647;0.08333391853418026;0.08426538434718679
CSTB;AMB_construction_Half;France;Individual_dwelling;MtCO2eq;new;bois;0.00108394154386801;0.00214348991524008;0.0037416396388491703;0.00475210324587712;0.0062748990696574;0.007236469998361085;0.008173859049194255;0.009087104639360277;0.0099762451860627;0.011312366854894547;0.012153066125424867;0.012756230829911534;0.01354933537480589;0.014318526962259635;0.015063844009476399;0.0155982159981764;0.01629618803158519;0.01697039117206946;0.01745316862392946;0.017918747896842793;0.018522375657476275;0.018953558572496275;0.019367543308569605;0.01976432986569627;0.02014391824387627;0.020506308443109602;0.02085150046339627;0.021179494304736268;0.021490289967129598;0.021783887450576266;0.022060286755076264
