Model;Scenario;Region;Variable;Unit;Dpe;Ef_Nrj;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;AMB_construction_Constant;France;Collective_dwelling;MtCO2eq;new;elec;0.007020152694730065;0.007129277216425198;0.011174479428454915;0.00734395664272215;0.011507448927116654;0.007557697578123503;0.0076657897598595955;0.007773694243411643;0.007881411028780236;0.012339056521877159;0.008092946510618766;0.006055916672710438;0.00831040118851582;0.00841717948301513;0.008523770079330615;0.006392023048995652;0.008740004719078086;0.008846079145415622;0.006644102831209565;0.006728129425280877;0.009170784715006602;0.006896182613423478;0.00698020920749479;0.007064235801566092;0.007148262395637393;0.007232288989708702;0.007316315583780004;0.007400342177851313;0.007484368771922615;0.007568395365993918;0.007652421960065217
CSTB;AMB_construction_Constant;France;Collective_dwelling;MtCO2eq;new;rcu;0.003941210505242909;0.004002474516153573;0.006273506806640867;0.004122998505726652;0.006460440473630224;0.004242995613572558;0.004303680054597996;0.0043642591192752335;0.004424732807604605;0.006927316442178644;0.004543491743415143;0.003399875109166669;0.004665573797497164;0.004725520604114137;0.004785362034383034;0.0035885698625000005;0.004906759142227983;0.0049663107875551485;0.0037300909275;0.003777264615833337;0.005148604970834599;0.0038716119925;0.003918785680833337;0.003965959369166668;0.004013133057500001;0.004060306745833337;0.004107480434166668;0.004154654122500005;0.004201827810833337;0.0042490014991666695;0.0042961751875
CSTB;AMB_construction_Constant;France;Individual_dwelling;MtCO2eq;new;bois;0.00108394154386801;0.00105954837137207;0.0015981497236090905;0.0010104636070279492;0.001522795823780281;0.0009615709287036853;0.0009373890508331693;0.0009132455901660213;0.0008891405467024224;0.001336121668831849;0.0008406992705303207;0.000603164704486666;0.0007931045448943567;0.0007691915874537467;0.0007453170472167625;0.0005343719887;0.0006979720334087899;0.0006742031404842729;0.0004827774518600001;0.0004655792729133321;0.0006036277606334806;0.00043118291501999815;0.00041398473607333206;0.0003967865571266661;0.0003795883781799982;0.0003623901992333321;0.0003451920202866661;0.00032799384133999816;0.00031079566239333213;0.0002935974834466661;0.0002763993045
CSTB;AMB_construction_Constant;France;Individual_dwelling;MtCO2eq;new;elec;0.0036987270672317702;0.0036154903946669136;0.005453356478162354;0.0034479987550159108;0.005196226828971393;0.0032811625693097268;0.0031986468960963923;0.003116262313669962;0.0030340088220310547;0.004559239757513177;0.0028687129531139582;0.0020581752135107228;0.00270630576338764;0.0026247077257042393;0.0025432407788086226;0.001823434252295652;0.0023816856792179997;0.00230057923199731;0.0016473785313843479;0.0015886932910805754;0.002059755297154126;0.0014713228104730372;0.0014126375701692712;0.0013539523298655052;0.001295267089561733;0.0012365818492579667;0.001177896608954201;0.0011192113686504285;0.0010605261283466625;0.0010018408880428965;0.0009431556477391304
CSTB;AMB_construction_Constant;France;Residential_dwelling;MtCO2eq;new;bois;0.00108394154386801;0.00105954837137207;0.0015981497236090905;0.0010104636070279492;0.001522795823780281;0.0009615709287036853;0.0009373890508331693;0.0009132455901660213;0.0008891405467024224;0.001336121668831849;0.0008406992705303207;0.000603164704486666;0.0007931045448943567;0.0007691915874537467;0.0007453170472167625;0.0005343719887;0.0006979720334087899;0.0006742031404842729;0.0004827774518600001;0.0004655792729133321;0.0006036277606334806;0.00043118291501999815;0.00041398473607333206;0.0003967865571266661;0.0003795883781799982;0.0003623901992333321;0.0003451920202866661;0.00032799384133999816;0.00031079566239333213;0.0002935974834466661;0.0002763993045
CSTB;AMB_construction_Constant;France;Residential_dwelling;MtCO2eq;new;elec;0.010718879761961835;0.010744767611092111;0.016627835906617268;0.010791955397738062;0.016703675756088047;0.010838860147433231;0.010864436655955987;0.010889956557081604;0.010915419850811292;0.016898296279390334;0.010961659463732724;0.00811409188622116;0.011016706951903458;0.011041887208719368;0.011067010858139237;0.008215457301291305;0.011121690398296085;0.011146658377412933;0.008291481362593913;0.008316822716361453;0.011230540012160728;0.008367505423896514;0.00839284677766406;0.008418188131431597;0.008443529485199127;0.00846887083896667;0.008494212192734205;0.00851955354650174;0.008544894900269277;0.008570236254036814;0.008595577607804347
CSTB;AMB_construction_Constant;France;Residential_dwelling;MtCO2eq;new;rcu;0.003941210505242909;0.004002474516153573;0.006273506806640867;0.004122998505726652;0.006460440473630224;0.004242995613572558;0.004303680054597996;0.0043642591192752335;0.004424732807604605;0.006927316442178644;0.004543491743415143;0.003399875109166669;0.004665573797497164;0.004725520604114137;0.004785362034383034;0.0035885698625000005;0.004906759142227983;0.0049663107875551485;0.0037300909275;0.003777264615833337;0.005148604970834599;0.0038716119925;0.003918785680833337;0.003965959369166668;0.004013133057500001;0.004060306745833337;0.004107480434166668;0.004154654122500005;0.004201827810833337;0.0042490014991666695;0.0042961751875
CSTB;AMB_construction_Half;France;Collective_dwelling;MtCO2eq;new;elec;0.007020152694730065;0.006515332429773467;0.010076644662432778;0.006533377303998943;0.010097757821378752;0.006540194795547489;0.006540757314852421;0.0065385398955056465;0.0065335493671863695;0.01007919975288116;0.00651259255059666;0.004799893487605003;0.00648599275783349;0.006467239129868265;0.006445753371001441;0.004756178881772354;0.006397259912520691;0.006367608651971819;0.004701990895603793;0.00467985165606302;0.006267646396794705;0.004629458310754593;0.004601204204986941;0.00457091181047699;0.004538581127224757;0.004504212155230222;0.0044678048944933905;0.0044293593450142705;0.004388875506792866;0.004346353379829156;0.00430179296412315
CSTB;AMB_construction_Half;France;Collective_dwelling;MtCO2eq;new;rcu;0.003941210505242909;0.003906415127765887;0.006043766660825237;0.003919976372410184;0.0060607842595028745;0.003926965595458194;0.003928814681566452;0.003929037140897866;0.0039276369632192274;0.006061640759887101;0.003918369948372851;0.0028891904203552756;0.003905889677780559;0.0038964361615716142;0.003885383946951142;0.0028683810142327596;0.00386009665761342;0.0038442670537599316;0.0028402713055536203;0.0028285199447391995;0.0037904384871489194;0.0028014450362282765;0.0027861214885317835;0.0027696072118746;0.002751902206256724;0.002733006471678161;0.002712920008138909;0.00269164281563897;0.002669174894178335;0.002645516243757011;0.0026206668643749998
CSTB;AMB_construction_Half;France;Individual_dwelling;MtCO2eq;new;bois;0.00108394154386801;0.00105954837137207;0.0015981497236090905;0.0010104636070279492;0.001522795823780281;0.0009615709287036853;0.0009373890508331693;0.0009132455901660213;0.0008891405467024224;0.001336121668831849;0.0008406992705303207;0.000603164704486666;0.0007931045448943567;0.0007691915874537467;0.0007453170472167625;0.0005343719887;0.0006979720334087899;0.0006742031404842729;0.0004827774518600001;0.0004655792729133321;0.0006036277606334806;0.00043118291501999815;0.00041398473607333206;0.0003967865571266661;0.0003795883781799982;0.0003623901992333321;0.0003451920202866661;0.00032799384133999816;0.00031079566239333213;0.0002935974834466661;0.0002763993045
