Model;Scenario;Region;Variable;Unit;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
INSEE;Esperance de vie basse_BAU;France;Construction needs from population growth;m2;0.0;4247523.463670731;4247523.463670731;4247523.463670254;4247523.463670731;8495046.927340984;4247523.463670731;4247523.463670254;0.0;4247523.463670731;4247523.463670254;4247523.463670731;0.0;0.0;4247523.463670731;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
INSEE;Esperance de vie basse_Negawatt;France;Construction needs from population growth;m2;0.0;1953333.3333353996;1946666.666662693;1940000.0000019073;1933333.3333358765;6109999.999995232;1916666.666668892;1910000.0000023842;0.0;1900000.0000023842;1893333.3333353996;1886666.666668892;0.0;0.0;1873333.3333358765;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
INSEE;Esperance de vie haute_BAU;France;Construction needs from population growth;m2;0.0;4247523.463670731;4247523.463670731;8495046.927340984;8495046.927340984;8495046.927340984;4247523.463670731;8495046.927340984;8495046.927340984;4247523.463670731;8495046.927340984;4247523.463670731;4247523.463670254;8495046.927341461;4247523.463670254;4247523.463670731;4247523.463670731;8495046.927340984;4247523.463670254;4247523.463670731;4247523.463670731;0.0;4247523.463670254;4247523.463670731;4247523.463670731;0.0;4247523.463670254;0.0;4247523.463670731;0.0;0.0;0.0
INSEE;Esperance de vie haute_Negawatt;France;Construction needs from population growth;m2;0.0;1953333.3333353996;1946666.666662693;6130000.000001907;6116666.666668892;6103333.333328724;1910000.0000023842;6080000.000002384;6066666.666661739;1883333.3333358765;6043333.3333354;1866666.666668892;1859999.9999957085;6010000.000002384;1843333.3333358765;1836666.6666617393;1830000.0000019073;5966666.666669369;1813333.333328724;1806666.6666693687;1800000.0000019073;0.0;1790000.0000023842;1783333.3333353996;1776666.6666622162;0.0;1766666.666668415;0.0;1756666.6666617393;0.0;0.0;0.0
INSEE;Fecondite basse_BAU;France;Construction needs from population growth;m2;0.0;4247523.463670731;4247523.463670731;8495046.927340984;4247523.463670254;4247523.463670731;4247523.463670731;4247523.463670254;4247523.463670731;0.0;4247523.463670254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
INSEE;Fecondite basse_Negawatt;France;Construction needs from population growth;m2;0.0;1953333.3333353996;1946666.666662693;6130000.000001907;1930000.0000023842;1923333.333328724;1916666.666668892;1910000.0000023842;1903333.333328724;0.0;1893333.3333353996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
INSEE;Fecondite haute_BAU;France;Construction needs from population growth;m2;0.0;4247523.463670731;4247523.463670731;8495046.927340984;4247523.463670254;8495046.927341461;4247523.463670254;8495046.927340984;8495046.927341461;4247523.463670254;8495046.927341461;8495046.927340984;8495046.927340984;4247523.463670731;8495046.927340984;4247523.463670731;8495046.927340984;4247523.463670254;8495046.927341461;4247523.463670254;4247523.463670731;4247523.463670731;4247523.463670254;4247523.463670731;4247523.463670254;0.0;4247523.463670731;4247523.463670731;4247523.463670254;0.0;4247523.463670731;0.0
INSEE;Fecondite haute_Negawatt;France;Construction needs from population growth;m2;0.0;1953333.3333353996;1946666.666662693;6130000.000001907;1930000.0000023842;6106666.666662216;1913333.3333353996;6083333.333335876;6069999.999995232;1886666.666668892;6046666.666668892;6033333.3333354;6019999.999995708;1850000.0000023842;5996666.666668892;1833333.333328724;5973333.3333354;1816666.6666693687;5949999.999995232;1800000.0000023842;1793333.3333353996;1786666.6666622162;1780000.0000023842;1773333.3333353996;1766666.6666622162;0.0;1756666.666668415;1750000.000002861;1743333.333328247;0.0;1733333.333328247;0.0
INSEE;Population basse_BAU;France;Construction needs from population growth;m2;0.0;4247523.463670731;0.0;4247523.463670731;4247523.463670254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
INSEE;Population basse_Negawatt;France;Construction needs from population growth;m2;0.0;1953333.3333353996;0.0;1943333.3333353996;1936666.666668892;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
INSEE;Population haute_BAU;France;Construction needs from population growth;m2;0.0;4247523.463670731;8495046.927340984;8495046.927340984;12742570.391011715;8495046.927340984;12742570.391011715;8495046.927341461;12742570.391011238;12742570.391011715;12742570.391011715;8495046.927340984;12742570.391011715;12742570.391011715;12742570.391011715;12742570.391011715;12742570.391011715;8495046.927340984;12742570.391011715;12742570.391011715;8495046.927340984;12742570.391011715;8495046.927340984;12742570.391011715;8495046.927340984;12742570.391011715;8495046.927340984;8495046.927341461;8495046.927340984;8495046.927340984;8495046.927340984;0.0
INSEE;Population haute_Negawatt;France;Construction needs from population growth;m2;0.0;1953333.3333353996;6139999.999995708;6126666.666668892;10300000.000002384;6096666.666662216;10263333.3333354;6066666.666668892;10226666.666662216;10206666.666668892;10186666.666668892;6003333.3333354;10149999.999995708;10130000.000002384;10110000.000002384;10089999.999995232;10070000.000002384;5906666.666669369;10033333.333328247;10013333.333335876;5860000.000002384;9976666.66666174;5830000.000002384;9940000.000002384;5799999.999995232;9903333.333335876;5770000.000002384;5756666.666669369;5743333.333328247;5730000.000002384;5716666.666661739;0.0
INSEE;Scenario central_BAU;France;Construction needs from population growth;m2;0.0;4247523.463670731;4247523.463670731;8495046.927340984;4247523.463670254;8495046.927341461;4247523.463670254;4247523.463670731;4247523.463670254;4247523.463670731;8495046.927340984;4247523.463670731;0.0;4247523.463670731;4247523.463670254;4247523.463670731;0.0;4247523.463670254;4247523.463670731;0.0;0.0;4247523.463670731;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
INSEE;Scenario central_Negawatt;France;Construction needs from population growth;m2;0.0;1953333.3333353996;1946666.666662693;6130000.000001907;1930000.0000023842;6106666.666662216;1913333.3333353996;1906666.666668892;1899999.9999952316;1893333.3333358765;6053333.3333354;1876666.666668892;0.0;1866666.666668892;1860000.0000023842;1853333.333328724;0.0;1843333.3333358765;1836666.6666622162;0.0;0.0;1823333.333328724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
INSEE;Solde migratoire bas_BAU;France;Construction needs from population growth;m2;0.0;4247523.463670731;4247523.463670731;4247523.463670254;4247523.463670731;0.0;4247523.463670254;4247523.463670731;0.0;4247523.463670731;0.0;4247523.463670254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
INSEE;Solde migratoire bas_Negawatt;France;Construction needs from population growth;m2;0.0;1953333.3333353996;1946666.666662693;1940000.0000019073;1933333.3333358765;0.0;1923333.3333353996;1916666.666668892;0.0;1906666.666668892;0.0;1896666.666668892;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
